stored_name	slug	kind	website	name	description_de	description_en	events	note
11freunde	11freunde	media	https://www.11freunde.de/	11FREUNDE			2	football magazine; pub quiz
36 Concerts	36-concerts	promoter	https://www.36-tickets.de/	36 Concerts	36 Concerts ist die Hausagentur von Lido, Astra Kulturhaus und Bi Nuu in Kreuzberg, bis 2020 unter dem Namen Direct Concerts. Sie bucht vor allem Indie, Rock und Alternative für die eigenen Clubs und daneben für Festsaal Kreuzberg und Urban Spree.	36 Concerts is the in-house agency of Lido, Astra Kulturhaus and Bi Nuu in Kreuzberg, known as Direct Concerts until 2020. It books mostly indie, rock and alternative for its own clubs, and also for Festsaal Kreuzberg and Urban Spree.	27	in-house agency of Lido, Astra, Bi Nuu
7synths Party	7synths-party	party		7synths Party			1	Badehaus party series
Act	act	junk		Act			1	one word, Gretchen; deleted by V026
AEG Presents	aeg-presents	promoter	https://www.aegpresents.com/	AEG Presents			1	
Afro Haus	afro-haus	promoter	https://www.afrohaus.de/	Afro Haus			5	site writes AFRO HAUS
Agave	agave	unverified		Agave			1	Metropol, one event
Alebrije	alebrije	unverified		Alebrije			1	Heimathafen, one event
All Artists	all-artists	promoter		All Artists			2	All Artists Agency; site not found
All Rooms	all-rooms	promoter	https://allrooms-agency.com/	All Rooms	All Rooms ist eine Berliner Booking- und Konzertagentur, seit 2015 für Künstler:innen aus Pop, Indie und Punkrock. Für die eigenen Berliner Shows gibt es seit 2023 All Rooms Concerts, meist im Kulturhaus Insel und im Frannz Club.	All Rooms is a Berlin booking and concert agency, working since 2015 with acts from pop and indie to punk rock. Its own Berlin shows have run under All Rooms Concerts since 2023, mostly at Kulturhaus Insel and Frannz Club.	34	site writes ALL ROOMS
amSTARt	amstart	unverified		amSTARt			1	Urban Spree
Antenne Brandenburg	antenne-brandenburg	media	https://www.antennebrandenburg.de/	Antenne Brandenburg			1	rbb radio
Antonio Garcia	antonio-garcia	promoter		Antonio Garcia			1	person; salsa
Aok. Die Gesundheitskasse	aok	sponsor	https://www.aok.de/	AOK			2	health insurer; prevention theatre
Ar	ar	junk		Ar			1	two letters, Huxleys; deleted by V026
Archiv B	archiv-b	unverified		Archiv B			1	Columbia Theater
Asiarec SpA	asiarec-spa	unverified		Asiarec SpA			1	Privatclub
Atoc Soundlab	atoc-soundlab	promoter	https://atocsoundlab.com/	ATOC Soundlab			2	
ATOK Berlin	atok-berlin	promoter	https://www.atokberlin.com/	ATOK Berlin	ATOK Berlin macht seit 2016 DIY-Booking für Newcomer- und Underground-Bands in Berlin und Deutschland, vor allem Metal, Hardcore und Punk. Die Shows laufen unter anderem im Kulturhaus Insel, Badehaus und Urban Spree.	ATOK Berlin has done DIY booking for newcomer and underground bands in Berlin and across Germany since 2016, mostly metal, hardcore and punk. Its shows run at Kulturhaus Insel, Badehaus and Urban Spree, among others.	6	site title: ATOK Booking & Events
Atr Party Berlin	atr-party-berlin	party		Atr Party Berlin			1	Lido
Audiolith	audiolith	promoter	https://audiolith.net/	Audiolith			3	label and booking
Auf Die Gute Tour	auf-die-gute-tour	promoter	https://www.aufdiegutetour.de/	Auf die gute Tour			1	site lowercase
Aufnahme + wiedergabe	aufnahme-wiedergabe	promoter	https://www.aufnahmeundwiedergabe.de/	aufnahme + wiedergabe	aufnahme + wiedergabe ist ein Berliner Label für Dark Wave, Post-Punk und Minimal Electro, gegründet 2011. Die Label-Konzerte laufen im Urban Spree.	aufnahme + wiedergabe is a Berlin label for dark wave, post-punk and minimal electro, founded in 2011. Its label shows run at Urban Spree.	7	label, one name
B-Come	b-come	unverified		B-Come			3	Frannz, Lido
Bad Ideas	bad-ideas	unverified		Bad Ideas			1	Astra
Badehaus	badehaus	venue	https://badehaus-berlin.com/	Badehaus			3	
beav boloney	beav-boloney	promoter		beav boloney			2	Schokoladen collective
Bedroomdisco	bedroomdisco	media	https://www.bedroomdisco.de/	Bedroomdisco			4	
Bergson	bergson	unverified		Bergson			1	Heimathafen
Berlin En Salsa	berlin-en-salsa	party		Berlin En Salsa			1	
Berlin Folk Festival	berlin-folk-festival	promoter		Berlin Folk Festival			1	festival
Berlin Pop Nights	berlin-pop-nights	party		Berlin Pop Nights			4	same organiser as Dancing With Myself (Eventbrite)
Boese	boese-live	promoter	https://boese.live/	Boese Live			2	
Boldt Berlin	boldt-berlin	promoter	https://www.ibb-booking.com/	Boldt Berlin			1	boldtberlin.de redirects to IBB Booking
Book of Raw	book-of-raw	unverified		Book of Raw			1	Astra
Bossa FM	bossa-fm	promoter	https://www.bossafm.com/	Bossa FM	Bossa FM ist eine Berliner Agentur für brasilianische Musik und Kultur in Europa, seit 2016 mit über 150 Veranstaltungen von Konzerten bis zu Festivals wie Psicotrópicos und LAPA. In Berlin laufen die Abende unter anderem im Badehaus, Gretchen und Lido.	Bossa FM is a Berlin agency for Brazilian music and culture in Europe, with more than 150 events since 2016, from concerts to festivals such as Psicotrópicos and LAPA. In Berlin its nights run at Badehaus, Gretchen and Lido, among others.	6	
bricks	bricks	promoter	https://bricks-berlin.de/	BRICKS			2	
Brighter	brighter	promoter		Brighter			1	Brighter Agency, Schokoladen co-billing
Bum	bum	junk		Bum			1	Badehaus; deleted by V026
ByteFM	bytefm	media	https://www.byte.fm/	ByteFM			6	
Casius	casius	unverified		Casius			1	Privatclub
Channel	channel	junk		Channel			1	Hole 44; deleted by V026
Chicha	chicha	party		Chicha			2	
Chimperator	chimperator	promoter	https://chimperator.de/	Chimperator			1	
Chnsw!	chnsw	party		CHNSW!			4	source writes CHNSW!
Coming Home	coming-home	unverified		Coming Home			1	
